Titel,Autor,ISBN,Erscheinungsjahr,Auflage,Zustand,Verlag,Preis,Bestand,Status,Leihfrist
"Spät der Lernen, ['Belletristik']",Lydia Scholtz,978-1-279-07866-2,16062001,3,"['Gut', 'Abgenutzt', 'In Ordnung', 'In Reparatur', 'Neu', 'In Reparatur']",Medien Union,39.34,6,"['rot', 'verliehen', 'verfügbar', 'grün', 'verfügbar', 'gelb']",14
"Nichts der In, ['Wissenschaft']",Helene Süßebier,978-1-02-481863-5,30121905,3,"['Gut', 'In Ordnung', 'Unvollständig', 'Gut', 'In Ordnung']",Oldenbourg Verlag,42.67,5,"['verfügbar', 'rot', 'verfügbar', 'verfügbar']",unbekannt
"Schlagen der Durch, ['Krimis & Thriller', 'Belletristik']",Swantje Krause,978-0-14-569529-3,05011956,4,['In Reparatur'],Kiepenheuer & Witsch,41.09,1,[],14
"Geben der Brot, ['Kinder- und Jugendbücher', 'Wissenschaft']",Swantje Stiebitz,978-0-19-414777-4,21112016,4,"['Sehr gut', 'In Reparatur', 'Ausgemustert', 'Sehr gut']",WEKA-Verlagsgruppe,23.96,6,"['rot', 'verfügbar', 'grün', 'gelb', 'verliehen', 'grün']",28
"Maus der Tante, ['Kinder- und Jugendbücher']",Anna-Maria Lachmann,978-1-222-08518-1,13091946,1,"['In Reparatur', 'Gut', 'Unvollständig', 'Sehr gut', 'Sehr gut']",O'Reilly Media,14.63,5,"['rot', 'verliehen', 'ausgeliehen', 'verliehen', 'grün']",999
"Noch der Monate, ['Geschichte']",Marius Binner,0-245-55759-8,20051974,7,[],Rowohlt Verlag,18.87,1,['grün'],28
"Fragen der Gab, ['Belletristik']",Samuel Fischer,978-0-7559-8069-7,01111972,8,"['Gut', 'In Ordnung', 'Neu', 'Gut']",Reclam Verlag,34.43,7,"['grün', 'verfügbar', 'rot', 'verfügbar', 'verliehen', 'verliehen', 'rot']",14
"Denken der Buch, ['Geschichte']",Hans-Hermann Gorlitz,978-0-05-267596-8,04091917,3,['Gut'],Carlsen Verlag,28.21,1,['rot'],28
"Waschen der Berg, ['Belletristik']",Falko Franke,978-1-154-54326-1,04121967,9,"['Gut', 'Sehr gut', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'Unvollständig', 'Sehr gut', 'In Ordnung']",Verlagsgruppe Handelsblatt,25.67,8,"['verliehen', 'verliehen', 'vorgemerkt', 'verliehen', 'vorgemerkt', 'ausgeliehen', 'vorgemerkt', 'verfügbar']",14
"Opa der Ins, ['Psychologie', 'Kinder- und Jugendbücher']",Dino Pohl,978-1-62606-378-5,09041972,4,['Beschädigt'],Goldmann Verlag,38.15,1,['???'],14
"Hund der Abend, ['Reiseliteratur']",Serge Käster,978-0-378-13748-5,02061892,1,"['In Reparatur', 'Verloren', 'In Ordnung', 'Sehr gut', 'Abgenutzt']",WEKA-Verlagsgruppe,27.39,5,"['rot', 'verfügbar', 'rot', 'rot', 'verfügbar']",10
"Bis der Pferd, ['Wissenschaft']",Mirko Bauer,978-1-930199-72-9,28111961,9,"['Neu', 'Gut', 'In Ordnung', 'In Ordnung']",Goldmann Verlag,1574,4,"['verfügbar', 'verliehen', 'verliehen', 'grün']",28
"Wissen der Über, ['Belletristik']",Sebastiano Finke,978-1-02-861546-9,24101942,6,"['In Ordnung', 'In Ordnung', 'Unvollständig', 'Abgenutzt', 'Gut', 'Abgenutzt', 'Sehr gut', 'In Reparatur', 'Sehr gut']",Verlag Gerhard Rautenberg,26.94,9,"['vorgemerkt', 'rot']",14
"Allein der Sonst, ['Belletristik']",Sükrü Trub,978-0-9684767-2-7,31052019,1,"['Unvollständig', 'In Ordnung', 'Neu', 'Neu', 'Beschädigt', 'Sehr gut', 'Gut', 'Neu']",Thienemann-Esslinger,44.32,8,"['verfügbar', 'verliehen', 'verfügbar', 'rot', 'verfügbar', 'grün', 'verliehen', 'rot']",14
"Dein der Antworten, ['Technik', 'Psychologie']",Reinhilde Renner,978-1-315-60608-8,19500724,3,"['Gut', 'Unvollständig', 'Sehr gut']",O'Reilly Media,29.55,3,['grün'],21
"Fallen der Hier, ['Belletristik']",Cindy Gutknecht,978-0-360-17998-1,16012000,30,"['Gut', 'Neu', 'Gut', 'Sehr gut', 'Unvollständig', 'Unvollständig', 'Neu']",Springer Fachmedien,31.37,7,"['ausgeliehen', 'rot', 'verliehen', 'grün', 'grün', 'verliehen', 'grün']",14
"Ohne der Beide, ['Computer & IT']",Nadeschda Lehmann,978-1-322-61709-1,21092004,9,"['Neu', 'Abgenutzt', 'Neu']",C.H. BECK,21.16,3,"['grün', 'rot', 'rot']",28
"Woche der Dafür, ['Kinder- und Jugendbücher']",Cindy Peukert,978-0-531-06765-9,17081919,2,"['Neu', 'Gut', 'Beschädigt', 'Beschädigt', 'In Ordnung']",Piper Verlag,19.24,5,['rot'],14
"Jung der Treffen, ['Kinder- und Jugendbücher', 'Philosophie']",Gretchen Gehringer,978-1-56125-939-7,05121990,8,[],Cornelsen Verlag,47.34,8,"['rot', 'rot', 'verliehen', 'rot', 'vorgemerkt', 'verloren', 'verliehen', 'verfügbar']",28
"Müde der Minutenmir, ['Reiseliteratur']","Fischer, Dietlinde",978-1-4471-4458-8,22081937,3,"['Neu', 'Gut', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Neu']",Heyne Verlag,33.86,6,"['verliehen', 'verfügbar', 'grün', 'rot', 'rot', 'rot']",10
"Zahl der Die, ['Wissenschaft']",Madlen Stiebitz,0-19-698455-6,21021979,3,"['Gut', 'Neu', 'Ausgemustert', 'Gut']",Verlagsgruppe Weltbild,27.71,4,[],28
"Gleich der Reiten, ['Sachbücher', 'Gesundheit']",Sebastiano Noack,978-1-4854-4563-0,18021915,1,"['Gut', 'In Ordnung', 'Sehr gut', 'Gut']",Eulenspiegel Verlagsgruppe,33.93,8,"['rot', 'verfügbar', 'verliehen', 'rot', 'verloren']",21
"Gab der Hunger, ['Sachbücher']",Ahmad Schmidt,978-0-357-89118-6,08031918,3,"['Abgenutzt', 'Gut', 'In Reparatur', 'Verloren', 'Sehr gut', 'Gut', 'Neu', 'Sehr gut']",Hubert Burda Media,30.39,8,"['verfügbar', 'grün', 'verfügbar', 'verliehen', 'ausgeliehen', 'grün', 'verliehen', 'rot']",21
"Flasche der Jung, ['Belletristik']",Caren Dussen van,978-0-289-67268-6,24021942,6,"['Sehr gut', 'Neu', 'Abgenutzt', 'Ausgemustert', 'Gut', 'Abgenutzt', 'In Ordnung']",Springer Fachmedien,20.8,7,"['verfügbar', 'vorgemerkt', 'verfügbar', 'gelb', 'verfügbar', 'grün', 'verfügbar']",14
"Zehn der Weit, ['Technik']",Falko Pölitz,978-1-253-37502-2,04121984,9,"['Sehr gut', 'In Reparatur', 'Neu', 'Unvollständig', 'Sehr gut', 'Gut', 'Unvollständig', 'Sehr gut', 'Gut']",SingLiesel Verlag,35.57,9,"['grün', 'rot', 'gelb', 'verfügbar', 'verfügbar', 'verliehen', 'rot', 'verfügbar', 'rot']",28
"Gerade der Lesen, ['Sachbücher', 'Belletristik']",Helene Junk,978-1-281-20010-5,1995-03-25,5,['In Ordnung'],DTV VERLAGSGESELLSCHAFT,30.1,1,['gelb'],
"Schwimmen der Vom, ['Belletristik']",Selim Nerger,978-0-8127-5936-5,10042007,10,"['Unvollständig', 'Neu', 'Beschädigt']",Verlagsgruppe Random House,35.16,4,"['verfügbar', 'verliehen', 'rot', 'verfügbar']",14
"Bekommen der Hilfe, ['Psychologie']",Verena Zirme,978-1-4377-1927-7,16011936,6,"['Sehr gut', 'Neu', 'Neu', 'Gut', 'In Ordnung', 'Gut', 'Sehr gut']",Hans Gerig Musikverlage,34.94,7,"['rot', 'verfügbar', 'verliehen', 'rot', 'verfügbar', 'vorgemerkt', 'verfügbar']",21
"Warm der Junge, ['Gesundheit']",Nadeschda Trub,1-72039-455-5,31012001,7,['Beschädigt'],Reclam Verlag,30.05,1,['ausgeliehen'],21
"Erde der Leben, ['Wissenschaft']","Gieß, Serge",978-0-18-894924-7,14091905,3,"['Unvollständig', 'Neu', 'Gut', 'Beschädigt', 'Abgenutzt', 'Gut', 'Sehr gut', 'In Reparatur', 'Sehr gut']",Hanser Verlag,38.41,9,"['verliehen', 'verliehen', 'rot', 'ausgeliehen', 'rot', 'vorgemerkt', 'verliehen', 'verfügbar', 'rot']",28
"Wo der Vier, ['Wissenschaft']",Carolin Trub,978-0-311-38357-3,04081955,7,"['In Ordnung', 'In Ordnung', 'Beschädigt', 'Neu', 'Neu']",WEKA-Verlagsgruppe,23.68,5,"['grün', 'vorgemerkt', 'verfügbar']",28
"Herz der Ist, ['Kinder- und Jugendbücher']","Köhler, Irmengard",978-1-77528-647-9,11111907,9,['In Ordnung'],Bonnier Verlagsgruppe,25.09,2,"['grün', 'rot']",14
"Nächste der Hinein, ['Wissenschaft', 'Sport']",Eleonora Binner,978-1-4587-4667-2,03081898,10,"['Verloren', 'In Ordnung', 'Gut']",Ernst Klett Verlag,16.57,3,"['rot', 'verfügbar', 'verfügbar']",14
"Weit der Baden, ['Religion & Spiritualität']",Sebastiano Lindau,978-0-06-566210-8,24071921,5,"['In Ordnung', 'In Ordnung', 'Sehr gut', 'Abgenutzt', 'Verloren', 'Neu', 'Abgenutzt', 'In Ordnung']",Thomas Kettler Verlag,40.79,8,"['verfügbar', 'rot', 'grün', 'rot', 'vorgemerkt', 'rot', 'verliehen']",21
"Ein der Grün, ['Sachbücher']",Gottlob Gierschner,0-431-12039-0,17051927,1,"['In Ordnung', 'Sehr gut']",Südwestdeutsche Medien Holding,36.56,2,"['grün', 'verloren']",21
"Sollen der Fast, ['Geschichte']",Pascale Hövel,978-0-629-85653-0,25032024,8,"['Gut', 'Neu', 'Neu', 'In Ordnung', 'Unvollständig', 'Sehr gut', 'Gut', 'Gut', 'Sehr gut']",Verlagsgruppe Georg von Holtzbrinck,23.06,9,"['rot', 'rot', 'rot', 'vorgemerkt', 'verliehen', 'rot', 'rot', 'verfügbar', 'grün']",28
"Voll der Müde, ['Philosophie', 'Geschichte']",Milan Gehringer,978-1-00-476563-8,13031992,6,"['Sehr gut', 'Sehr gut']",O'Reilly Media,16.7,2,"['verliehen', 'rot']",28
"Heißen der Oft, ['Philosophie']",Mirko Gehringer,978-0-06-354259-4,30041899,1,"['In Ordnung', 'Neu', 'In Reparatur', 'Sehr gut', 'Gut', 'Abgenutzt', 'In Reparatur']",Piper Verlag,33.39,7,"['rot', 'verfügbar']",28
"Berg der Schluss, ['Belletristik']",Swantje Kraushaar,978-1-64946-100-1,28041968,8,"['Neu', 'Gut', 'Ausgemustert', 'Neu', 'Gut']",Bastei Lübbe,35.1,5,"['verfügbar', 'verliehen', 'rot', 'rot', 'gelb']",14
"Laut der Lernen, ['Sprachen']",Harold Zobel,978-1-4286-7620-6,07021916,1,"['In Reparatur', 'Neu', 'Beschädigt', 'Verloren', 'In Ordnung', 'In Ordnung']",Springer Fachmedien,32.84,6,"['verfügbar', 'vorgemerkt', 'verfügbar', 'verfügbar', 'grün', 'verfügbar']",14 Tage
"Mögen der Die, ['Reiseliteratur']",Wanda Martin,978-0-476-54069-9,01022001,3,"['Gut', 'Neu', 'Gut', 'Neu', 'Neu', 'Ausgemustert', 'Abgenutzt']",C.H. Beck,40.85,7,"['verfügbar', 'verliehen', 'verfügbar', 'grün', 'ausgeliehen', 'verliehen', 'rot']",
"Aus der Einmal, ['Sachbücher', 'Kunst und Kultur']",Swantje Zobel,978-1-63346-136-9,23041916,9,"['Neu', 'Sehr gut', 'In Ordnung', 'Beschädigt', 'In Reparatur']",O'Reilly Media,23.12,5,"['gelb', 'verfügbar', 'verliehen', 'rot', 'gelb']",21
"Hinter der Deshalb, ['Belletristik', 'Computer & IT']",Mirko Peukert,978-1-58645-422-7,20011923,6,"['Neu', 'Abgenutzt', 'Neu', 'Unvollständig', 'In Ordnung', 'Beschädigt', 'Gut', 'In Reparatur', 'Gut']",Verlagsgruppe Husum,29.52,9,"['verfügbar', 'grün', 'rot', 'grün', 'verfügbar', 'verliehen', 'verfügbar', 'rot', 'rot']",28
"Heraus der Es, ['Kinder- und Jugendbücher', 'Technik']",Jenny Dussen van,978-0-315-51354-9,30011956,7,"['In Ordnung', 'Beschädigt', 'In Reparatur', 'Sehr gut', 'Verloren', 'Gut', 'Abgenutzt', 'Gut']",FISCHER VERLAGE,35.98,8,"['gelb', 'verliehen', 'grün', 'rot', 'gelb', 'verfügbar', 'verfügbar', 'rot']",28
"Reiten der Offen, ['Technik', 'Psychologie']","Hering, Cindy",978-1-04-465241-7,06051992,1,"['Sehr gut', 'Neu', 'Ausgemustert', 'Sehr gut', 'Abgenutzt', 'Sehr gut', 'Neu', 'Gut']",Verlagsgruppe Ippen,36.46,8,"['verliehen', 'gelb', 'rot', 'rot', 'vorgemerkt', 'verliehen', 'rot', 'verfügbar']",21
"Woche der Glück, ['Belletristik', 'Belletristik']","Martin, Albin",978-1-134-09808-8,02091946,3,"['Gut', 'Sehr gut', 'Sehr gut', 'Gut', 'Neu', 'Neu', 'Neu', 'Neu']",Verlagshaus Römerweg,32.52,8,"['verfügbar', 'verliehen', 'verliehen', 'verfügbar', 'rot']",14
"Einige der Und, ['Sachbücher']",Sigrid Pölitz,978-1-357-09119-4,09071923,5,"['Unvollständig', 'Unvollständig', 'Gut', 'Gut', 'In Ordnung', 'Sehr gut']",MairDumont,26.94,6,"['verfügbar', 'rot', 'grün', 'rot', 'verliehen', 'grün']",21
"Kaufen der Laut, ['Biografien']",Galina Lindau,978-1-59275-840-1,16041923,8,"['In Ordnung', 'Abgenutzt', 'In Ordnung', 'Sehr gut', 'In Ordnung', 'Sehr gut', 'In Ordnung']",Thomas Kettler Verlag,38.35,7,"['grün', 'gelb', 'verloren', 'verliehen', 'vorgemerkt', 'verfügbar', 'rot']",21
"Fenster der Fast, ['Krimis & Thriller']",Andrey Röhricht,978-1-09-058196-9,29011994,3,"['Gut', 'Beschädigt']",Reclam Verlag,33.46,2,"['rot', 'rot']",14
"Polizei der Nie, ['Sachbücher']",Inga Köhler,978-1-08-633454-8,18061991,9,"['Gut', 'Neu', 'Neu', 'Beschädigt']",MEDIEN UNION,29.95,4,"['grün', 'verfügbar', 'verfügbar', 'verfügbar']",21
"Jeder der Zug, ['Sprachen']",Jurij Trub,978-1-880217-58-0,1993-07-17,5,[],Reclam Verlag,46.74,2,"['rot', 'verfügbar']",21
"Junge der Welt, ['Kinder- und Jugendbücher']",Kathleen Lachmann,978-0-445-68043-2,09021906,20,"['Ausgemustert', 'In Ordnung', 'In Ordnung', 'In Reparatur', 'Gut', 'In Ordnung', 'Gut']",Carlsen Verlag,42.41,7,"['grün', 'gelb', 'rot', 'verfügbar', 'verfügbar']",999
"Kaufen der Dabei, ['Geschichte', 'Computer & IT']",Nadeschda Bolander,978-1-397-68469-1,24121963,8,"['Ausgemustert', 'Neu', 'Sehr gut', 'Gut', 'Sehr gut', 'Unvollständig', 'In Ordnung']",Kiepenheuer & Witsch,47.51,7,"['ausgeliehen', 'rot', 'verliehen', '???', 'verliehen', 'verliehen', 'verliehen']",28
"Noch der Dauern, ['Kinder- und Jugendbücher']","Atzler, Maja",978-0-04-005885-8,14012003,5,['Neu'],Verlagsgruppe Herder,28.09,1,['verliehen'],14
"Genau der Rot, ['Geschichte', 'Sachbücher']",Hannelore Hettner,0-419-43798-3,11082000,3,"['Beschädigt', 'Neu', 'Neu']",Verlagsgruppe Handelsblatt,41.79,3,"['verfügbar', 'rot', 'vorgemerkt']",21
"Deshalb der Als, ['Kinder- und Jugendbücher']",Kazim Köhler,978-0-7500-2000-8,17091911,80,[],Gräfe und Unzer Verlag,27.17,0,[],14
"Schicken der Maus, ['Belletristik']",Janna Wirth,978-0-528-89371-1,31011945,9,"['Neu', 'Sehr gut', 'Neu', 'In Reparatur', 'Unvollständig']",Reinhold Kühn Verlag,32.36,5,"['grün', 'rot', 'verfügbar', 'verliehen', 'gelb']",14 Tage
"Merken der Ins, ['Biografien']",Alice Lachmann,978-0-04-028162-1,15102022,3,['Gut'],Thomas Kettler Verlag,36.68,1,['rot'],21
"Oma der Eigentlich, ['Sprachen']",Jurij Dietz,978-1-81318-926-7,10031966,2,['Neu'],Cornelsen Verlag,24.98,1,['verliehen'],21
"Luft der Weiß, ['Reiseliteratur', 'Kinder- und Jugendbücher']",Irmengard Spieß,978-1-5333-7243-7,11091881,5,"['In Ordnung', 'In Ordnung', 'Gut']",Kiepenheuer & Witsch,53.14,3,"['verfügbar', 'verliehen', 'verfügbar']",14
"Nah der Stelle, ['Geschichte']",Dietlinde Lachmann,978-1-07-926610-8,23011996,3,"['Beschädigt', 'Gut']",MairDumont,23.22,2,[],28
"Nichts der Fenster, ['Religion & Spiritualität']",Gottlob Dietz,978-1-225-14704-6,13052023,8,"['Abgenutzt', 'Abgenutzt', 'Beschädigt']",Oldenbourg Verlag,15.62,3,['verfügbar'],21
"Gelb der Himmel, ['Belletristik']",Andre Killer,978-1-291-30386-5,27111927,3,"['Gut', 'Unvollständig', 'Unvollständig', 'In Ordnung', 'Unvollständig']",Reinhold Kühn Verlag,27.43,5,['rot'],14
"Minutenmir der Treffen, ['Krimis & Thriller']",Thea Franke,978-1-80891-196-5,17081935,20,"['In Ordnung', 'Neu']",Springer Fachmedien,21.42,2,"['gelb', 'rot']",14
"Dauern der Beißen, ['Geschichte']",Selim Fröhlich,978-0-263-39912-7,30071900,4,"['Neu', 'In Ordnung', 'Beschädigt']",Verlagsgruppe Hüthig Jehle Rehm,25.6,3,"['rot', 'rot', 'verliehen']",28
"Zimmer der Wir, ['Krimis & Thriller']",Gretchen Röhricht,978-1-972260-71-5,22121986,5,[],Reinhold Kühn Verlag,29.01,0,[],14
"Wohnung der Neun, ['Psychologie', 'Geschichte']",Mariele Ehlert,978-1-283-80277-2,2006-06-11,9,"['Neu', 'Gut', 'Neu', 'In Ordnung', 'Unvollständig', 'Neu', 'Sehr gut', 'Gut']",Springer Fachmedien,34.16,8,"['vorgemerkt', 'gelb', 'grün', 'verliehen', 'rot', 'verfügbar', 'rot']",unbekannt
"Damit der Oft, ['Wissenschaft']",Janna Franke,978-0-273-34522-0,06071982,2,"['Sehr gut', 'Sehr gut', 'Neu', 'Gut', 'Abgenutzt', 'Gut', 'Neu', 'In Reparatur']",Verlagsgruppe Ippen,38.47,8,"['grün', 'rot', 'grün', 'rot', 'rot', 'verfügbar', 'rot', 'rot']",28
"Warum der Groß, ['Belletristik']","Junitz, Czeslaw",978-0-235-10945-7,11091997,3,"['Abgenutzt', 'Unvollständig']",Verlagsgruppe Weltbild,30.56,2,"['rot', 'gelb']",14
"Hase der Will, ['Psychologie']",Cindy Scholtz,978-1-77568-445-9,03051893,3,"['Abgenutzt', 'Neu', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Gut', 'Sehr gut']",Silberschnur Verlag,31.9,7,"['verliehen', 'rot', 'rot', 'grün', 'rot', 'rot', 'verfügbar']",21
"Andere der Hin, ['Biografien']",Patrizia Austermühle,978-1-76687-816-4,23031932,1,"['Abgenutzt', 'Abgenutzt', 'Unvollständig', 'Sehr gut', 'Neu', 'Sehr gut']",Verlagsgruppe Husum,32.69,6,"['verliehen', 'rot', 'vorgemerkt', 'grün', 'verliehen', 'rot']",21
"Kurz der Onkel, ['Kinder- und Jugendbücher', 'Belletristik']",Jessika Peukert,978-1-81016-565-3,29072001,8,"['In Reparatur', 'Unvollständig', 'Neu', 'Neu', 'Sehr gut', 'Sehr gut']",Beltz & Gelberg,13.54,6,"['verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar']",14
"Woche der Weg, ['Kinder- und Jugendbücher']",Sükrü Koch,978-0-06-269348-8,27081932,4,"['In Ordnung', 'Gut', 'Verloren', 'Abgenutzt', 'Beschädigt', 'Abgenutzt', 'Beschädigt', 'In Ordnung']",Fischer Verlage,29.78,8,[],14
"Sicher der Weihnachten, ['Belletristik']",Milan Hövel,978-0-00-560005-4,28051947,50,"['Gut', 'Sehr gut', 'In Ordnung']",Nomos Verlagsgesellschaft,30.81,3,"['verfügbar', 'vorgemerkt', 'verfügbar']",14
"In der Erschrecken, ['Sachbücher']",Dajana Pohl,978-1-71099-075-1,1973-01-24,7,"['Verloren', 'Neu']",Verlagsgruppe Hüthig Jehle Rehm,16.72,2,"['rot', 'vorgemerkt']",21
"Abend der Schlecht, ['Belletristik']","Reuter, Milan",978-0-554-56666-5,1961-09-18,1,"['Beschädigt', 'Abgenutzt', 'In Reparatur', 'Gut', 'Neu']",Bastei Lübbe,3512,5,"['rot', 'verfügbar', 'rot', 'verfügbar', 'verfügbar']",14
"Aus der Vier, ['Krimis & Thriller']",Hans-Gerd Budig,978-0-8131-8794-5,24071911,5,"['Neu', 'In Ordnung']",WEKA-Verlagsgruppe,24.09,7,"['rot', 'rot', 'verfügbar', 'rot', 'rot', 'grün', 'rot']",14
"Zusammen der Müssen, ['Kinder- und Jugendbücher']",Jessika Gieß,978-0-8076-0872-2,22101899,9,"['Neu', 'Gut', 'Beschädigt', 'In Ordnung', 'Sehr gut', 'Unvollständig', 'Sehr gut', 'Beschädigt', 'Abgenutzt']",Kiepenheuer & Witsch,23.09,9,"['rot', 'verliehen', 'vorgemerkt']",14
"Sprechen der Boden, ['Sachbücher']",Marius Budig,978-1-4196-5832-7,13082019,1,"['Gut', 'Neu', 'Sehr gut']",Münchner Verlagsgruppe,46.04,3,"['gelb', 'verfügbar', 'gelb']",21
"Essen der Tief, ['Belletristik']",Aloisia Hein,978-1-67695-419-4,30042010,1,"['In Reparatur', 'Neu', 'Gut', 'Gut', 'Beschädigt', 'Neu', 'Abgenutzt', 'Neu']",Verlagshaus Römerweg,28.17,8,"['rot', 'verfügbar']",7
"Eigentlich der Stelle, ['Sachbücher']",Jennifer Anders,978-0-402-64376-0,15111929,7,"['Sehr gut', 'Gut', 'Sehr gut', 'Sehr gut', 'Beschädigt']",Verlagsgruppe Hüthig Jehle Rehm,21.05,5,"['rot', 'verfügbar', 'gelb', 'verfügbar', 'verfügbar']",21
"Sonntag der Zahl, ['Biografien', 'Kinder- und Jugendbücher']",Birgitt Noack,978-1-58991-592-3,10111892,6,['Beschädigt'],Rowohlt Verlag,26.13,1,['verfügbar'],14
"Bleiben der Nie, ['Biografien']",Marieluise Budig,978-0-7389-2996-5,30051914,2,"['Neu', 'Ausgemustert', 'Abgenutzt', 'Neu']",MM Verlag,54.73,4,"['verliehen', 'verliehen', 'verliehen', 'verfügbar']",21
"Welt der Fiel, ['Kunst und Kultur']",Geert Mies,978-1-4755-5357-4,07011984,8,['Neu'],Reinhold Kühn Verlag,31.73,2,"['verliehen', 'rot']",21
"Jahr der Tot, ['Krimis & Thriller']",Erika Atzler,978-0-915370-99-3,20021890,3,['Neu'],Ullstein Buchverlage,34.96,1,['verfügbar'],14
"Öffnen der Immer, ['Wissenschaft', 'Belletristik']",Gina Gieß,978-0-375-99379-4,17101911,4,['In Ordnung'],Campus Verlag,43.86,1,['verfügbar'],14
"Neben der Mein, ['Belletristik', 'Psychologie']",Helene Sontag,978-1-902989-76-1,08062018,3,[],Reclam Verlag,30.08,0,[],21
"Anfangen der Weinen, ['Belletristik']",Peter Spieß,978-0-219-13092-7,08101964,6,['In Ordnung'],Bonnier Verlagsgruppe,2745,1,['rot'],14
"Alle der Heute, ['Fantasy & Science-Fiction', 'Wissenschaft']",Kornelius Atzler,978-0-259-68214-1,28041993,8,"['In Reparatur', 'Abgenutzt', 'Gut', 'Sehr gut', 'In Reparatur', 'Neu']",VERLAGSGRUPPE IPPEN,21.16,6,"['grün', 'grün', 'rot', 'rot', 'verliehen', 'verliehen']",28
"In der Lehrer, ['Kinder- und Jugendbücher']",Ehrenfried Jacobi Jäckel,978-0-485-46074-2,06102011,4,"['Abgenutzt', 'Neu', 'Neu']",Verlagsgruppe Herder,26.97,3,"['verfügbar', 'verfügbar']",14
"Feuer der Finden, ['Kinder- und Jugendbücher']",Swen Rogner,978-0-16-493466-3,15111903,3,"['Neu', 'Beschädigt', 'Gut', 'Gut', 'Verloren']",Thienemann-Esslinger,23.64,5,"['ausgeliehen', 'rot', 'verfügbar', 'vorgemerkt', 'grün']",14
"Tante der Freude, ['Fantasy & Science-Fiction']",Ernst-Dieter Süßebier,978-0-342-15550-7,19071908,9,[],Fischer Verlage,2454,3,"['verfügbar', 'verfügbar', 'gelb']",14
"Fiel der Vogel, ['Kinder- und Jugendbücher', 'Biografien']",Caren Bauer,978-0-918645-06-7,16081999,2,"['Sehr gut', 'Unvollständig', 'In Ordnung', 'In Reparatur', 'In Ordnung', 'Ausgemustert', 'Sehr gut', 'Sehr gut']",Verlagsgruppe Handelsblatt,25.29,8,"['verfügbar', 'rot', 'grün', 'verliehen', 'ausgeliehen', 'grün', 'verliehen', 'ausgeliehen']",21
"Traurig der Sein, ['Fantasy & Science-Fiction', 'Belletristik']",Gotthard Rogner,978-0-9690077-4-6,07091928,5,[],Verlag Gerhard Rautenberg,19.15,0,[],14
"Suchen der Essen, ['Geschichte']","Hein, Eleonora",978-0-663-75766-4,19781012,2,['Neu'],Goldmann Verlag,24.91,1,[],28
"Milch der Helfen, ['Belletristik']","Wirth, Hans-Hermann",978-1-331-58988-4,08051893,7,"['Gut', 'Sehr gut', 'Abgenutzt']",Münchener Verlagsgruppe,43.83,3,"['verliehen', 'gelb', 'vorgemerkt']",14
"Zur der Uhr, ['Belletristik']",Hans-Jürgen Gorlitz,978-1-261-60647-7,2012-07-25,80,"['Gut', 'Gut', 'Beschädigt', 'Sehr gut', 'In Ordnung', 'Neu', 'In Ordnung']",Münchner Verlagsgruppe,13.09,7,"['rot', 'verfügbar', 'verfügbar', 'vorgemerkt', 'verfügbar', 'vorgemerkt', 'verfügbar']",14
"Essen der Dich, ['Fantasy & Science-Fiction']","Berger, Gina",978-1-253-07555-7,02101959,7,[],Münchener Verlagsgruppe,38.68,0,[],14
"Meer der Dafür, ['Kinder- und Jugendbücher']",Jurij Lindau,978-1-234-63767-5,23071910,40,"['Unvollständig', 'Abgenutzt', 'Unvollständig', 'Neu']",Ullstein Buchverlage,25.05,6,"['grün', 'rot']",14
"Gegen der Schauen, ['Sport']","Dietz, Selim",978-1-354-34713-3,20051938,5,"['Abgenutzt', 'Gut', 'Neu', 'In Ordnung', 'Neu']",Oldenbourg Verlag,44.16,5,"['grün', 'rot', 'verfügbar']",14
"Tief der Heißen, ['Belletristik']",Cornelia Adler,978-0-674-24471-9,02031982,7,"['In Ordnung', 'In Reparatur', 'Sehr gut', 'Beschädigt', 'Sehr gut', 'Sehr gut', 'Gut']",Bastei Lübbe,4750,7,"['vorgemerkt', 'ausgeliehen', 'grün', 'rot', 'gelb', 'verfügbar']",14
"Nichts der Heißen, ['Gesundheit', 'Krimis & Thriller']",Hans Jörg Nerger,978-1-109-60562-4,08081997,5,"['Neu', 'In Reparatur', 'Sehr gut', 'In Reparatur', 'Neu', 'Sehr gut', 'Neu', 'Sehr gut', 'Unvollständig']",Medien Union,15.65,9,"['grün', 'verliehen', 'rot', 'verliehen', 'verfügbar', 'verliehen', 'verfügbar', 'verfügbar', 'grün']",14
"Müde der Weihnachten, ['Belletristik', 'Gesundheit']",Gretchen Süßebier,978-1-4944-1839-7,10101892,8,"['Neu', 'Abgenutzt', 'Beschädigt', 'Gut', 'Gut']",Rowohlt Verlag,23.98,5,"['verfügbar', 'rot', 'grün', 'rot', 'gelb']",21
"Zeit der Hilfe, ['Kinder- und Jugendbücher']",Kathleen Bauer,978-1-4473-9552-2,13101927,4,"['Sehr gut', 'Gut', 'In Ordnung', 'Abgenutzt', 'Gut', 'Neu']",Verlag Gerhard Rautenberg,47.93,6,[],14
